"";"p";"n";"prop.covered"
"1";0,01;100;0,6295
"2";0,015;100;0,7786
"3";0,02;100;0,8667
"4";0,025;100;0,9203
"5";0,03;100;0,8098
"6";0,035;100;0,8642
"7";0,04;100;0,9059
"8";0,045;100;0,9386
"9";0,05;100;0,8719
"10";0,055;100;0,9109
"11";0,06;100;0,9317
"12";0,065;100;0,8879
"13";0,07;100;0,9153
"14";0,075;100;0,9384
"15";0,08;100;0,8944
"16";0,085;100;0,9209
"17";0,09;100;0,9449
"18";0,095;100;0,9057
"19";0,1;100;0,9307
"20";0,105;100;0,952
"21";0,11;100;0,9139
"22";0,115;100;0,9435
"23";0,12;100;0,9525
"24";0,125;100;0,9346
"25";0,13;100;0,9368
"26";0,135;100;0,9193
"27";0,14;100;0,939
"28";0,145;100;0,9492
"29";0,15;100;0,9318
"30";0,155;100;0,9439
"31";0,16;100;0,9234
"32";0,165;100;0,9355
"33";0,17;100;0,9514
"34";0,175;100;0,9383
"35";0,18;100;0,9469
"36";0,185;100;0,9291
"37";0,19;100;0,9393
"38";0,195;100;0,9524
"39";0,2;100;0,9335
"40";0,205;100;0,9457
"41";0,21;100;0,9234
"42";0,215;100;0,9432
"43";0,22;100;0,939
"44";0,225;100;0,9374
"45";0,23;100;0,9509
"46";0,235;100;0,932
"47";0,24;100;0,9525
"48";0,245;100;0,9312
"49";0,25;100;0,9496
"50";0,255;100;0,9479
"51";0,26;100;0,9424
"52";0,265;100;0,9451
"53";0,27;100;0,9406
"54";0,275;100;0,9432
"55";0,28;100;0,9336
"56";0,285;100;0,9512
"57";0,29;100;0,9319
"58";0,295;100;0,948
"59";0,3;100;0,9498
"60";0,305;100;0,9456
"61";0,31;100;0,9461
"62";0,315;100;0,9473
"63";0,32;100;0,9464
"64";0,325;100;0,9415
"65";0,33;100;0,9408
"66";0,335;100;0,9478
"67";0,34;100;0,9432
"68";0,345;100;0,9568
"69";0,35;100;0,9386
"70";0,355;100;0,9544
"71";0,36;100;0,9417
"72";0,365;100;0,9519
"73";0,37;100;0,9369
"74";0,375;100;0,952
"75";0,38;100;0,934
"76";0,385;100;0,9499
"77";0,39;100;0,9313
"78";0,395;100;0,9508
"79";0,4;100;0,9458
"80";0,405;100;0,947
"81";0,41;100;0,9503
"82";0,415;100;0,9474
"83";0,42;100;0,9482
"84";0,425;100;0,9444
"85";0,43;100;0,9487
"86";0,435;100;0,9442
"87";0,44;100;0,9461
"88";0,445;100;0,9427
"89";0,45;100;0,9423
"90";0,455;100;0,9421
"91";0,46;100;0,9438
"92";0,465;100;0,9446
"93";0,47;100;0,9436
"94";0,475;100;0,9542
"95";0,48;100;0,941
"96";0,485;100;0,957
"97";0,49;100;0,9433
"98";0,495;100;0,9532
"99";0,5;100;0,9415
"100";0,505;100;0,9545
"101";0,51;100;0,9431
"102";0,515;100;0,9542
"103";0,52;100;0,9463
"104";0,525;100;0,9568
"105";0,53;100;0,9472
"106";0,535;100;0,9424
"107";0,54;100;0,9456
"108";0,545;100;0,9437
"109";0,55;100;0,946
"110";0,555;100;0,9436
"111";0,56;100;0,9514
"112";0,565;100;0,9395
"113";0,57;100;0,9439
"114";0,575;100;0,9462
"115";0,58;100;0,9456
"116";0,585;100;0,9417
"117";0,59;100;0,9484
"118";0,595;100;0,9458
"119";0,6;100;0,9495
"120";0,605;100;0,9526
"121";0,61;100;0,9314
"122";0,615;100;0,9475
"123";0,62;100;0,9328
"124";0,625;100;0,948
"125";0,63;100;0,9414
"126";0,635;100;0,9476
"127";0,64;100;0,9383
"128";0,645;100;0,9541
"129";0,65;100;0,9359
"130";0,655;100;0,9541
"131";0,66;100;0,9388
"132";0,665;100;0,9374
"133";0,67;100;0,9401
"134";0,675;100;0,9397
"135";0,68;100;0,944
"136";0,685;100;0,9377
"137";0,69;100;0,9516
"138";0,695;100;0,9482
"139";0,7;100;0,9495
"140";0,705;100;0,9452
"141";0,71;100;0,9323
"142";0,715;100;0,9498
"143";0,72;100;0,9385
"144";0,725;100;0,9441
"145";0,73;100;0,9437
"146";0,735;100;0,9447
"147";0,74;100;0,9426
"148";0,745;100;0,9493
"149";0,75;100;0,9461
"150";0,755;100;0,931
"151";0,76;100;0,9514
"152";0,765;100;0,9342
"153";0,77;100;0,9538
"154";0,775;100;0,9392
"155";0,78;100;0,9268
"156";0,785;100;0,9404
"157";0,79;100;0,9286
"158";0,795;100;0,9542
"159";0,8;100;0,9347
"160";0,805;100;0,9471
"161";0,81;100;0,9411
"162";0,815;100;0,9276
"163";0,82;100;0,9454
"164";0,825;100;0,9376
"165";0,83;100;0,9496
"166";0,835;100;0,9342
"167";0,84;100;0,9252
"168";0,845;100;0,9408
"169";0,85;100;0,9354
"170";0,855;100;0,9487
"171";0,86;100;0,9387
"172";0,865;100;0,9272
"173";0,87;100;0,9418
"174";0,875;100;0,9316
"175";0,88;100;0,9446
"176";0,885;100;0,9444
"177";0,89;100;0,9209
"178";0,895;100;0,947
"179";0,9;100;0,9343
"180";0,905;100;0,9053
"181";0,91;100;0,9473
"182";0,915;100;0,9268
"183";0,92;100;0,897
"184";0,925;100;0,9358
"185";0,93;100;0,9164
"186";0,935;100;0,8935
"187";0,94;100;0,9345
"188";0,945;100;0,9085
"189";0,95;100;0,8759
"190";0,955;100;0,9372
"191";0,96;100;0,9073
"192";0,965;100;0,8655
"193";0,97;100;0,8003
"194";0,975;100;0,9169
"195";0,98;100;0,8673
"196";0,985;100;0,7847
"197";0,99;100;0,6321
