"";"p";"n";"prop.covered";"method"
"1";0,01;100;0,9212;"wilson"
"2";0,02;100;0,94933;"wilson"
"3";0,03;100;0,9681;"wilson"
"4";0,04;100;0,93608;"wilson"
"5";0,05;100;0,96565;"wilson"
"6";0,06;100;0,94668;"wilson"
"7";0,07;100;0,97202;"wilson"
"8";0,08;100;0,96073;"wilson"
"9";0,09;100;0,94828;"wilson"
"10";0,1;100;0,93645;"wilson"
"11";0,11;100;0,96399;"wilson"
"12";0,12;100;0,95768;"wilson"
"13";0,13;100;0,94945;"wilson"
"14";0,14;100;0,94024;"wilson"
"15";0,15;100;0,93326;"wilson"
"16";0,16;100;0,96053;"wilson"
"17";0,17;100;0,95535;"wilson"
"18";0,18;100;0,9503;"wilson"
"19";0,19;100;0,94527;"wilson"
"20";0,2;100;0,94075;"wilson"
"21";0,21;100;0,93413;"wilson"
"22";0,22;100;0,96017;"wilson"
"23";0,23;100;0,95769;"wilson"
"24";0,24;100;0,95439;"wilson"
"25";0,25;100;0,95175;"wilson"
"26";0,26;100;0,94749;"wilson"
"27";0,27;100;0,94379;"wilson"
"28";0,28;100;0,94247;"wilson"
"29";0,29;100;0,94026;"wilson"
"30";0,3;100;0,93828;"wilson"
"31";0,31;100;0,96063;"wilson"
"32";0,32;100;0,96032;"wilson"
"33";0,33;100;0,95661;"wilson"
"34";0,34;100;0,95626;"wilson"
"35";0,35;100;0,95259;"wilson"
"36";0,36;100;0,95401;"wilson"
"37";0,37;100;0,9517;"wilson"
"38";0,38;100;0,94957;"wilson"
"39";0,39;100;0,94878;"wilson"
"40";0,4;100;0,94757;"wilson"
"41";0,41;100;0,94731;"wilson"
"42";0,42;100;0,9471;"wilson"
"43";0,43;100;0,94428;"wilson"
"44";0,44;100;0,94547;"wilson"
"45";0,45;100;0,94508;"wilson"
"46";0,46;100;0,94419;"wilson"
"47";0,47;100;0,94437;"wilson"
"48";0,48;100;0,94427;"wilson"
"49";0,49;100;0,94264;"wilson"
"50";0,5;100;0,94146;"wilson"
"51";0,51;100;0,94385;"wilson"
"52";0,52;100;0,94341;"wilson"
"53";0,53;100;0,94292;"wilson"
"54";0,54;100;0,94316;"wilson"
"55";0,55;100;0,94401;"wilson"
"56";0,56;100;0,94439;"wilson"
"57";0,57;100;0,94513;"wilson"
"58";0,58;100;0,94565;"wilson"
"59";0,59;100;0,94659;"wilson"
"60";0,6;100;0,94864;"wilson"
"61";0,61;100;0,94938;"wilson"
"62";0,62;100;0,95158;"wilson"
"63";0,63;100;0,95174;"wilson"
"64";0,64;100;0,95306;"wilson"
"65";0,65;100;0,95492;"wilson"
"66";0,66;100;0,95573;"wilson"
"67";0,67;100;0,95763;"wilson"
"68";0,68;100;0,95986;"wilson"
"69";0,69;100;0,96145;"wilson"
"70";0,7;100;0,93543;"wilson"
"71";0,71;100;0,94;"wilson"
"72";0,72;100;0,94175;"wilson"
"73";0,73;100;0,94395;"wilson"
"74";0,74;100;0,94841;"wilson"
"75";0,75;100;0,95192;"wilson"
"76";0,76;100;0,95479;"wilson"
"77";0,77;100;0,95772;"wilson"
"78";0,78;100;0,95953;"wilson"
"79";0,79;100;0,93544;"wilson"
"80";0,8;100;0,94037;"wilson"
"81";0,81;100;0,94594;"wilson"
"82";0,82;100;0,9499;"wilson"
"83";0,83;100;0,95593;"wilson"
"84";0,84;100;0,96027;"wilson"
"85";0,85;100;0,93192;"wilson"
"86";0,86;100;0,94097;"wilson"
"87";0,87;100;0,94941;"wilson"
"88";0,88;100;0,95557;"wilson"
"89";0,89;100;0,96483;"wilson"
"90";0,9;100;0,93686;"wilson"
"91";0,91;100;0,94951;"wilson"
"92";0,92;100;0,96089;"wilson"
"93";0,93;100;0,97197;"wilson"
"94";0,94;100;0,94861;"wilson"
"95";0,95;100;0,96575;"wilson"
"96";0,96;100;0,93666;"wilson"
"97";0,97;100;0,96853;"wilson"
"98";0,98;100;0,94956;"wilson"
"99";0,99;100;0,91839;"wilson"
